Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
"Bergstrom, Kling and Mayer",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Michael Brown,4/19/24,SAAS,Churned Customer,7,,,1515,40,1/25/25,7/12/24,,
"Stroman, Ritchie and Toy",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Sarah Davis,2/21/24,Services,Churned Customer,7,,,1007,20,10/6/24,4/1/24,,
"Williamson, Smitham and Muller",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Kevin Anderson,5/3/24,Services,Churned Customer,7,,,1895,80,2/20/25,5/14/24,,
Kub-Brown,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Jessica Martinez,3/27/24,Services,Churned Customer,7,,,748,50,8/30/24,7/16/24,,
Medhurst Group,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Michael Brown,1/5/24,SAAS,Churned Customer,7,,,726,10,6/13/24,3/20/24,,
Murray-Lehner,Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,2/12/24,SAAS,Churned Customer,7,,,634,60,3/30/24,2/27/24,,
"McLaughlin, Effertz and Swift",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,2/19/24,Custom solution,Churned Customer,7,,,586,60,11/1/24,6/13/24,,
Shields LLC,Italy,41.902782,12.496366,Telecommunications,Small (11-200),Sarah Davis,5/13/24,Services,Churned Customer,7,,,1936,20,12/17/24,8/22/24,,
Koch Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,3/21/24,Custom solution,Churned Customer,7,,,1620,40,8/24/24,5/13/24,,
Langosh Group,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Kevin Anderson,2/4/24,SAAS,Churned Customer,7,,,287,10,12/5/24,2/14/24,,
"Wiegand, Friesen and Ortiz",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Jessica Martinez,5/15/24,Custom solution,Churned Customer,7,,,1828,50,10/7/24,8/29/24,,
Ward-Schinner,Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Laura Thompson,2/15/24,SAAS,Churned Customer,7,,,453,40,12/3/24,4/26/24,,
"Kub, Hintz and Simonis",France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,3/30/24,Services,Churned Customer,7,,,835,70,8/14/24,5/23/24,,
Greenfelder-Klocko,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,2/27/24,SAAS,Churned Customer,7,,,1924,30,3/19/24,6/18/24,,
"Rice, Walker and Hermiston",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Emily Johnson,1/17/24,SAAS,Churned Customer,7,,,1020,20,5/31/24,3/26/24,,
"Frami, Brekke and Crooks",Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),David Wilson,4/30/24,SAAS,Churned Customer,7,,,543,30,6/21/24,7/12/24,,
"Cassin, Windler and Friesen",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,3/28/24,SAAS,Churned Customer,7,,,1984,20,12/31/24,5/29/24,,
"Greenfelder, O'Reilly and Dietrich",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Emily Johnson,1/19/24,SAAS,Churned Customer,7,,,349,50,4/22/24,2/7/24,,
"Kris, Brekke and Gulgowski",Switzerland,46.204391,6.143158,Telecommunications,Small (11-200),Michael Brown,1/7/24,SAAS,Churned Customer,7,,,1790,90,12/14/24,2/13/24,,
Adams and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,2/13/24,SAAS,Churned Customer,7,,,1606,40,11/1/24,5/9/24,,
"Kunze, O'Reilly and Von",Switzerland,46.204391,6.143158,Retail & Distribution,Small (11-200),Laura Thompson,4/8/24,SAAS,Churned Customer,7,,,716,40,3/11/25,7/13/24,,
Rempel and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),David Wilson,1/25/24,SAAS,Churned Customer,7,,,1883,20,10/13/24,4/17/24,,
Smitham-Sipes,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,1/6/24,Services,Churned Customer,7,,,233,10,11/12/24,2/10/24,,
Krajcik-Tromp,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Laura Thompson,5/6/24,SAAS,Churned Customer,7,,,854,60,12/28/24,8/10/24,,
"Gusikowski, Erdman and Ryan",Italy,41.902782,12.496366,Education & Science,Small (11-200),Jessica Martinez,5/21/24,Services,Churned Customer,7,,,1249,80,3/17/25,6/29/24,,
"Renner, Bashirian and Lind",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,3/21/24,SAAS,Churned Customer,7,,,1125,30,4/12/24,6/2/24,,
"Spencer, Jerde and Green",Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),John Smith,5/27/24,SAAS,Churned Customer,7,,,1411,40,3/23/25,8/29/24,,
Maggio-Reynolds,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Kevin Anderson,2/3/24,SAAS,Churned Customer,7,,,1503,30,1/3/25,4/19/24,,
Blognation,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,5/31/24,Custom solution,Churned Customer,7,,,206,80,10/10/24,6/17/24,,
Dablist,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Kevin Anderson,1/11/24,SAAS,Churned Customer,7,,,956,100,4/26/24,3/7/24,,
Meedoo,Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Michael Brown,4/9/24,SAAS,Churned Customer,7,,,668,40,9/5/24,4/27/24,,
Runte Group,Austria,48.210033,16.363449,Retail & Distribution,Micro (1-10),Kevin Anderson,5/8/24,Services,Churned Customer,7,,,721,30,2/22/25,7/20/24,,
VonRueden Inc,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,3/3/24,Services,Churned Customer,7,,,320,20,10/21/24,3/23/24,,
Treutel-Willms,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),David Wilson,5/17/24,Custom solution,Churned Customer,7,,,1074,90,12/21/24,8/15/24,,
"Medhurst, Weber and Waters",Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),John Smith,2/15/24,SAAS,Churned Customer,7,,,480,70,2/7/25,5/13/24,,
Hansen LLC,Spain,40.416775,-3.703790,Professional Services  & Consulting,Micro (1-10),Laura Thompson,1/5/24,Services,Churned Customer,7,,,392,20,1/26/24,3/13/24,,
Bechtelar-Heidenreich,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Michael Brown,3/25/24,Services,Churned Customer,7,,,846,40,8/27/24,6/2/24,,
"Rosenbaum, Breitenberg and Langworth",Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Emily Johnson,4/30/24,SAAS,Churned Customer,7,,,968,50,1/24/25,8/3/24,,
Kunde Group,Spain,40.416775,-3.703790,Agriculture & Mining,Micro (1-10),Laura Thompson,1/4/24,Services,Churned Customer,7,,,1068,40,11/12/24,3/18/24,,
Abernathy and Sons,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),Laura Thompson,3/27/24,Services,Churned Customer,7,,,617,30,12/2/24,4/1/24,,
"Erdman, Wilkinson and Stracke",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,1/4/24,Services,Churned Customer,7,,,888,30,5/8/24,2/4/24,,
"Bogisich, Denesik and Crona",Spain,40.416775,-3.703790,IT & IT Services,Micro (1-10),Michael Brown,4/15/24,Custom solution,Churned Customer,7,,,364,30,5/29/24,8/12/24,,
Davis-Schuppe,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Jessica Martinez,4/15/24,Services,Churned Customer,7,,,856,60,9/29/24,7/11/24,,
Huel-Dooley,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Sarah Davis,2/10/24,SAAS,Churned Customer,7,,,555,40,7/27/24,3/18/24,,
Bergstrom LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Jessica Martinez,4/4/24,Services,Churned Customer,7,,,1035,70,8/20/24,7/25/24,,
"Considine, Collins and Hudson",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Micro (1-10),Jessica Martinez,2/25/24,SAAS,Churned Customer,7,,,566,30,12/9/24,6/1/24,,
Kunde-Lindgren,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Jessica Martinez,1/18/24,Services,Churned Customer,7,,,722,90,11/4/24,5/3/24,,
Crooks Group,France,48.864716,2.349014,Telecommunications,Micro (1-10),Laura Thompson,1/16/24,Services,Churned Customer,7,,,1000,80,4/15/24,2/3/24,,
O'Conner Group,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Michael Brown,2/18/24,Custom solution,Churned Customer,7,,,898,60,3/27/24,4/13/24,,
Bogan-Goyette,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Laura Thompson,5/23/24,Services,Churned Customer,7,,,786,30,12/3/24,9/10/24,,
"Hilll, Runolfsdottir and Barrows",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Emily Johnson,2/23/24,SAAS,Churned Customer,7,,,843,40,6/29/24,6/16/24,,
"Lubowitz, McClure and Hettinger",Spain,40.416775,-3.703790,IT & IT Services,Micro (1-10),Kevin Anderson,5/1/24,SAAS,Churned Customer,7,,,608,20,3/16/25,8/20/24,,
Herman LLC,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,1/5/24,Services,Churned Customer,7,,,285,20,7/16/24,1/22/24,,
Bednar-Schuppe,Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),Jessica Martinez,3/15/24,Custom solution,Churned Customer,7,,,950,20,12/25/24,7/6/24,,
Reynolds-Olson,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Jessica Martinez,4/6/24,SAAS,Churned Customer,7,,,1095,40,9/20/24,4/6/24,,
"Jacobi, Johnson and Harris",France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),Laura Thompson,5/21/24,Services,Churned Customer,7,,,668,90,8/20/24,8/7/24,,
Beatty Group,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,1/26/24,Services,Churned Customer,7,,,993,50,9/29/24,2/14/24,,
"Hettinger, Kuhic and Dooley",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),John Smith,2/7/24,SAAS,Churned Customer,7,,,670,50,4/9/24,4/1/24,,
O'Kon-Fay,France,48.864716,2.349014,Banking and Finance,Micro (1-10),Jessica Martinez,2/13/24,SAAS,Churned Customer,7,,,442,20,9/8/24,5/24/24,,
Leuschke LLC,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,1/31/24,Custom solution,Churned Customer,7,,,375,70,7/16/24,3/13/24,,
"Dooley, Stracke and Wiegand",Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Kevin Anderson,2/28/24,SAAS,Churned Customer,7,,,258,40,1/12/25,4/19/24,,
Heathcote-Ryan,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Michael Brown,4/26/24,SAAS,Churned Customer,7,,,663,40,2/17/25,5/29/24,,
"Leuschke, Mohr and Rolfson",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),John Smith,3/11/24,Services,Churned Customer,7,,,1039,70,12/13/24,6/14/24,,
Reinger and Sons,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Jessica Martinez,1/13/24,SAAS,Churned Customer,7,,,991,40,4/30/24,3/26/24,,
Klocko Group,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Jessica Martinez,1/6/24,SAAS,Churned Customer,7,,,820,20,10/24/24,2/9/24,,
"Koch, Kerluke and Kuphal",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Laura Thompson,2/20/24,SAAS,Churned Customer,7,,,884,100,1/10/25,4/3/24,,
Wolf Inc,Netherlands,52.370216,4.895168,Energy & Utilities,Micro (1-10),Sarah Davis,2/22/24,Custom solution,Churned Customer,7,,,1057,60,2/7/25,6/14/24,,
Hoeger-Jakubowski,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Jessica Martinez,5/30/24,Services,Churned Customer,7,,,654,20,11/2/24,8/23/24,,
Ziemann LLC,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),Jessica Martinez,1/17/24,SAAS,Churned Customer,7,,,913,50,3/13/24,2/19/24,,
Flashspan,Spain,40.416775,-3.703790,Telecommunications,Medium (201-500),John Smith,4/25/24,SAAS,Churned Customer,7,,,5555,50,2/28/25,4/30/24,,
Wordpedia,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,4/21/24,Custom solution,Churned Customer,7,,,5916,10,10/13/24,6/9/24,,
Quaxo,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,2/26/24,Services,Churned Customer,7,,,1352,20,6/16/24,4/25/24,,
Skivee,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Jessica Martinez,5/4/24,Custom solution,Churned Customer,7,,,7313,90,5/31/24,8/21/24,,
BlogXS,Spain,40.416775,-3.703790,Construction & Engineering,Medium (201-500),Jessica Martinez,5/13/24,Custom solution,Churned Customer,7,,,481,50,6/7/24,6/21/24,,
Buzzster,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,2/23/24,Services,Churned Customer,7,,,5122,20,7/31/24,3/23/24,,
Wyman-Goodwin,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,2/1/24,SAAS,Churned Customer,7,,,7898,30,9/5/24,3/2/24,,
Cruickshank-Weimann,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,3/18/24,Custom solution,Churned Customer,7,,,5718,30,8/3/24,6/8/24,,
Schaden-Bode,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),David Wilson,2/10/24,Services,Churned Customer,7,,,2849,90,9/15/24,2/16/24,,
Walker LLC,Spain,40.416775,-3.703790,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,1/12/24,Services,Churned Customer,7,,,3612,40,7/24/24,4/2/24,,
"Tremblay, Lebsack and Gerhold",Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Jessica Martinez,4/5/24,SAAS,Churned Customer,7,,,1333,20,6/28/24,6/1/24,,
O'Reilly-Ferry,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),John Smith,1/18/24,Services,Churned Customer,7,,,2367,20,1/7/25,5/12/24,,
Bartoletti-Aufderhar,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),David Wilson,4/7/24,Services,Churned Customer,7,,,3651,40,7/28/24,4/12/24,,
Kiehn-Kshlerin,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,2/23/24,SAAS,Churned Customer,7,,,1647,10,1/1/25,5/24/24,,
Haley Group,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),John Smith,2/18/24,SAAS,Churned Customer,7,,,3098,40,11/12/24,3/1/24,,
"Hegmann, Larkin and Bednar",France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Kevin Anderson,2/15/24,Services,Churned Customer,7,,,7604,40,11/14/24,3/2/24,,
"Lynch, Kihn and Bartell",Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Kevin Anderson,3/3/24,Services,Churned Customer,7,,,3858,50,6/20/24,4/1/24,,
"Schinner, Bogisich and Batz",Austria,48.210033,16.363449,Education & Science,Medium (201-500),Emily Johnson,1/12/24,SAAS,Churned Customer,7,,,785,70,7/17/24,4/14/24,,
Grimes and Sons,Spain,40.416775,-3.703790,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/20/24,SAAS,Churned Customer,7,,,4410,40,6/10/24,3/7/24,,
"VonRueden, Gerlach and Schiller",France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Laura Thompson,4/10/24,Services,Churned Customer,7,,,3455,100,12/11/24,6/11/24,,
"Heller, Effertz and Tromp",Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Laura Thompson,2/14/24,SAAS,Churned Customer,7,,,7486,40,12/22/24,5/11/24,,
Emard-Lind,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Michael Brown,3/3/24,Services,Churned Customer,7,,,4521,90,12/12/24,3/6/24,,
O'Hara-Wyman,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),David Wilson,5/30/24,SAAS,Churned Customer,7,,,1641,20,7/9/24,9/6/24,,
Tillman-Greenholt,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Michael Brown,1/2/24,SAAS,Churned Customer,7,,,3545,40,7/13/24,4/27/24,,
Powlowski LLC,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Jessica Martinez,5/18/24,SAAS,Churned Customer,7,,,5862,60,9/27/24,7/6/24,,
O'Reilly-Stanton,Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Kevin Anderson,3/17/24,Services,Churned Customer,7,,,6124,20,6/28/24,7/5/24,,
O'Reilly-Bruen,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,2/5/24,Services,Churned Customer,7,,,2002,30,12/23/24,3/20/24,,
Kirlin and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,1/2/24,Services,Churned Customer,7,,,3182,20,5/5/24,3/3/24,,
MacGyver LLC,Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Jessica Martinez,2/4/24,SAAS,Churned Customer,7,,,7019,30,3/2/24,5/12/24,,
Lemke-Crooks,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,4/17/24,SAAS,Churned Customer,7,,,2816,70,8/4/24,5/18/24,,
"Hirthe, Grady and Cummings",Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Emily Johnson,5/24/24,SAAS,Churned Customer,7,,,734,40,8/4/24,8/27/24,,
Crooks-Wiza,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,3/23/24,SAAS,Churned Customer,7,,,7204,20,11/22/24,6/24/24,,
"Ortiz, Bashirian and Pfannerstill",Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,4/1/24,SAAS,Churned Customer,7,,,2921,60,2/13/25,6/2/24,,
"Orn, Blanda and Oberbrunner",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Emily Johnson,3/9/24,Services,Churned Customer,7,,,2653,50,1/31/25,5/30/24,,
Boyle Inc,France,48.864716,2.349014,Telecommunications,Medium (201-500),Sarah Davis,5/29/24,Custom solution,Churned Customer,7,,,4849,30,7/20/24,7/23/24,,
"Rodriguez, Little and Jast",Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,3/28/24,Custom solution,Churned Customer,7,,,1092,40,1/2/25,7/13/24,,
Bosco LLC,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,5/10/24,Custom solution,Churned Customer,7,,,5902,50,4/29/25,7/27/24,,
Bergnaum LLC,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,5/4/24,Custom solution,Churned Customer,7,,,625,40,10/4/24,8/3/24,,
"Corkery, Block and Frami",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,2/1/24,Services,Churned Customer,7,,,7655,60,3/31/24,4/27/24,,
"Auer, Bogisich and Kovacek",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,4/14/24,Custom solution,Churned Customer,7,,,7270,30,10/3/24,7/26/24,,
Jones and Sons,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Emily Johnson,1/12/24,Custom solution,Churned Customer,7,,,6482,90,1/3/25,3/24/24,,
"Wilderman, Bayer and Hickle",Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Laura Thompson,1/10/24,Services,Churned Customer,7,,,3196,30,5/21/24,3/21/24,,
"Rutherford, Lueilwitz and Frami",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Michael Brown,2/1/24,Services,Churned Customer,7,,,5812,90,12/25/24,3/28/24,,
Lang LLC,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),John Smith,1/20/24,SAAS,Churned Customer,7,,,2015,100,1/2/25,2/5/24,,
Auer Group,Spain,40.416775,-3.703790,Agriculture & Mining,Medium (201-500),Laura Thompson,1/12/24,Services,Churned Customer,7,,,3580,30,5/29/24,2/24/24,,
"Hilll, Jacobi and Cormier",Austria,48.210033,16.363449,Government Administration Healthcare,Medium (201-500),John Smith,3/1/24,SAAS,Churned Customer,7,,,1985,60,1/26/25,6/1/24,,
Reinger LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Kevin Anderson,2/17/24,Services,Churned Customer,7,,,7799,60,6/21/24,2/25/24,,
"Heaney, Hickle and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,5/1/24,Services,Churned Customer,7,,,1142,50,12/5/24,7/17/24,,
Hudson-Morar,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Laura Thompson,3/17/24,Services,Churned Customer,7,,,5858,40,5/19/24,5/2/24,,
Heller-Hartmann,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Sarah Davis,2/10/24,SAAS,Churned Customer,7,,,2557,50,5/24/24,2/24/24,,
Torphy-Pouros,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),John Smith,2/8/24,Services,Churned Customer,7,,,3207,60,10/18/24,6/7/24,,
Zulauf-Gutkowski,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),Michael Brown,5/10/24,SAAS,Churned Customer,7,,,797,70,11/30/24,8/2/24,,
"Kunde, O'Keefe and Skiles",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Michael Brown,1/3/24,Services,Churned Customer,7,,,6018,40,7/8/24,4/1/24,,
Raynor Group,Netherlands,52.370216,4.895168,Banking and Finance,Medium (201-500),Laura Thompson,2/25/24,Custom solution,Churned Customer,7,,,3011,90,9/2/24,5/31/24,,
Konopelski Group,Portugal,38.736946,-9.142685,Telecommunications,Medium (201-500),Laura Thompson,1/31/24,Services,Churned Customer,7,,,655,80,5/23/24,2/12/24,,
"Johnson, Sporer and Kertzmann",Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Emily Johnson,2/7/24,Custom solution,Churned Customer,7,,,2589,60,12/19/24,4/15/24,,
"Predovic, Ryan and Wisoky",Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Laura Thompson,5/11/24,SAAS,Churned Customer,7,,,2378,50,9/17/24,9/3/24,,
Bernhard-Padberg,Portugal,38.736946,-9.142685,Energy & Utilities,Medium (201-500),Laura Thompson,3/29/24,SAAS,Churned Customer,7,,,4592,40,12/25/24,7/9/24,,
